iter	Passed	Remaining
0	59	59730
1	61	30735
2	63	21113
3	65	16289
4	67	13401
5	69	11478
6	71	10118
7	73	9072
8	74	8241
9	76	7590
10	78	7065
11	80	6618
12	82	6236
13	83	5903
14	85	5629
15	87	5380
16	89	5152
17	90	4956
18	92	4779
19	94	4627
20	96	4490
21	98	4361
22	99	4245
23	101	4130
24	103	4034
25	105	3941
26	107	3873
27	109	3790
28	110	3707
29	112	3639
30	114	3579
31	116	3521
32	118	3472
33	120	3425
34	122	3376
35	124	3329
36	126	3287
37	126	3203
38	128	3165
39	130	3128
40	132	3093
41	134	3060
42	136	3027
43	137	2997
44	140	2971
45	141	2943
46	144	2922
47	146	2910
48	148	2890
49	150	2866
50	152	2843
51	154	2820
52	156	2801
53	158	2779
54	160	2760
55	162	2738
56	164	2720
57	166	2701
58	168	2684
59	170	2667
60	172	2649
61	174	2633
62	176	2618
63	177	2602
64	180	2590
65	182	2584
66	184	2570
67	186	2556
68	188	2542
69	190	2529
70	192	2518
71	194	2506
72	196	2495
73	198	2483
74	200	2472
75	202	2461
76	204	2449
77	206	2439
78	208	2427
79	210	2416
80	212	2407
81	214	2396
82	216	2388
83	218	2379
84	220	2369
85	222	2359
86	223	2349
87	225	2339
88	227	2330
89	229	2322
90	231	2314
91	233	2306
92	235	2298
93	237	2290
94	239	2281
95	241	2273
96	243	2266
97	245	2259
98	247	2252
99	249	2244
100	251	2238
101	253	2233
102	255	2225
103	257	2217
104	259	2211
105	261	2204
106	263	2197
107	265	2192
108	267	2186
109	269	2180
110	271	2173
111	273	2167
112	275	2162
113	277	2155
114	279	2149
115	281	2143
116	283	2137
117	285	2130
118	287	2125
119	289	2120
120	291	2114
121	293	2110
122	295	2104
123	297	2098
124	298	2092
125	300	2086
126	302	2082
127	305	2082
128	307	2076
129	309	2069
130	311	2064
131	312	2057
132	314	2053
133	316	2046
134	318	2041
135	320	2036
136	322	2030
137	324	2025
138	326	2020
139	328	2015
140	329	2009
141	331	2004
142	333	1997
143	335	1991
144	336	1987
145	338	1982
146	340	1977
147	342	1971
148	344	1967
149	346	1962
150	348	1957
151	350	1953
